hu_min,hu_max,iou,dice,voe,rvd
10,25,0.3921178201208903,0.5423768187206445,0.607882179861406,1.935186468376467
10,20,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
10,15,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
15,100,0.31259076639249656,0.43869259345834966,0.6874092335349277,-0.6286602236690755
15,95,0.4630156938464644,0.5998141525246607,0.5369843060994903,-0.2244639691822566
15,90,0.40854832131647967,0.5607532001068021,0.5914516786656379,1.8488212690044648
15,85,0.4619996946968416,0.6127683724841634,0.5380003052807284,1.110437920651405
15,80,0.37992187153767887,0.5281867618056583,0.6200781284454139,2.0873862694485465
15,75,0.19232555670171142,0.3055482793665508,0.8076744432907702,9.386536168029208
15,70,0.37149986392298745,0.523138271479958,0.6285001360607322,2.2951206400951003
15,65,0.45313268920209565,0.5987549102404832,0.5468673107705566,0.9183535086622386
15,60,0.49086702556138073,0.6317696785772347,0.5091329744037937,0.3793905028923187
15,55,0.4492156444955107,0.5983725499894395,0.5507843554816243,1.223237676693008
15,50,0.46855348074030123,0.6057146849520478,0.5314465192167315,0.10172535522435786
15,45,0.006401450041068496,0.011626467877906546,0.9935985498630439,-0.9935985498630439
15,40,0.5208645453138618,0.6555809179987313,0.47913545463998347,0.1108848251011996
15,35,0.488537854702596,0.6314697680080058,0.5114621452649663,0.5315959667114009
15,30,0.0017958601552896113,0.003531465387849781,0.9982041397486732,-0.9982041397486732
15,25,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
15,20,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
20,100,0.19119550237260238,0.3011850935831143,0.8088044976168751,6.71607489059735
20,95,0.5265179729614131,0.6747793793864049,0.4734820270106,0.6518805663788265
20,90,0.44387718595305287,0.597029261349873,0.5561228140254602,1.2462256485154941
20,85,0.5057265631028176,0.6501336086541344,0.49427343686707703,0.5974965491508596
20,80,0.43284004973591833,0.5671531100394557,0.5671599502392892,0.8780805195452179
20,75,0.5082844160694551,0.6525640265593008,0.49171558389861225,0.6578648287116975
20,70,0.40862360962001276,0.5603037772898715,0.5913763903610845,1.693083714491077
20,65,0.38549666298122187,0.5368864838617489,0.6145033370020024,2.141693911015534
20,60,0.46267193050695277,0.6009363349028467,0.5373280694384759,-0.28494066565322484
20,55,0.35738508072648806,0.48672426179233996,0.6426149192562989,2.252696802887935
20,50,0.34935250861593437,0.5000083019046008,0.6506474913688861,2.6711554351726323
20,45,0.4771119681846866,0.6260757212938788,0.5228880317882842,0.7944755770764726
20,40,0.46328702670428684,0.6125460885323666,0.5367129732721843,1.0976407117594111
20,35,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
20,30,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
20,25,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
25,100,0.4965291248622778,0.6453385725932309,0.5034708751127502,0.9048246024503879
25,95,0.4021308197571865,0.5534432091836249,0.5978691802261178,2.116641546964172
25,90,0.4851862750496373,0.6294469426227676,0.5148137249177073,0.6678545182890627
25,85,0.5088467963414913,0.6405967059533836,0.49115320360650827,-0.2027878105912965
25,80,0.4045156049219452,0.5436793409383355,0.5954843950229389,-0.2720590043436221
25,75,0.5024530477528161,0.6541463590752816,0.4975469522165309,0.4373968105999969
25,70,0.46921512494490136,0.618322287888251,0.5307848750314433,0.9827098593242354
25,65,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
25,60,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
25,55,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
25,50,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
25,45,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
25,40,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
25,35,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
25,30,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
30,100,0.2859330397079897,0.42985477097395935,0.7140669602790205,3.7380052270624717
30,95,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
30,90,0.5283903397522801,0.6719429449310417,0.4716096602163379,0.5923337956433203
30,85,0.3253267152717889,0.4747532570475782,0.6746732847128757,2.71399728831121
30,80,0.5025163251544418,0.6473568175386524,0.49748367480325034,0.2290729080935078
30,75,0.30371828048730104,0.4507713326216528,0.6962817194991967,3.4623514765411594
30,70,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
30,65,0.4981051214688807,0.6444227163953705,0.5018948784982351,0.4376235890385747
30,60,0.4607247296251444,0.6106005699037251,0.5392752703531649,1.1975433105350404
30,55,0.49005830564252156,0.6283618054546307,0.5099416943148718,0.3888581259391227
30,50,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
30,45,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
30,40,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
30,35,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
35,100,0.5319180922553073,0.6775503334822273,0.4680819077139097,0.5712164303989276
35,95,0.5437401012385547,0.6868507159673486,0.4562598987270805,0.33211152889052087
35,90,0.4080710178657124,0.5395386059512758,0.5919289820746814,-0.37946593866293366
35,85,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
35,80,0.023591725175267687,0.04544876458837761,0.976408274733136,-0.9462560400838095
35,75,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
35,70,0.28607465948564303,0.41801711258036506,0.7139253405029848,4.914714676708281
35,65,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
35,60,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
35,55,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
35,50,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
35,45,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
35,40,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
40,100,0.24694511888409693,0.3833072769456665,0.753054881103198,3.9348477488384597
40,95,0.2936243615098001,0.4334446232840545,0.7063756384547001,0.28814423677809425
40,90,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
40,85,0.5060845928112399,0.6466993464436743,0.4939154071598969,0.28438621285292265
40,80,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
40,75,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
40,70,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
40,65,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
40,60,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
40,55,0.0,9.609093829216684e-11,0.9999999999039091,-0.9999999999039091
